Temperature, RH,DMC,DC,ISI,BUI,FWI,class
39,21,18.4,41.5,15.5,18.4,18.8,1
35,34,16.9,45.1,7.5,17.5,10.5,1
37,40,22.3,55.5,10.8,22.3,15.7,1
35,46,16.9,54.2,3.5,19,5.5,1
40,41,22.6,65.1,9.5,24.2,14.8,1
42,24,30.3,76.4,15.7,30.4,24,1
37,37,35.9,86.8,16,35.9,26.3,1
35,66,32.7,96.8,3.3,35.5,7.7,1
36,81,34.4,107,3.8,38.1,9,1
36,71,36.9,117.1,5.1,41.3,12.2,1
37,53,41.1,127.5,8,45.5,18.1,1
36,43,46.1,137.7,11.5,50.2,24.5,1
35,38,51.3,147.7,12.2,54.9,26.9,1
34,40,56.3,157.5,14.3,59.5,31.1,1
33,37,61.3,167.2,13.1,64,30.3,1
36,54,65.9,177.3,10,68,26.1,1
35,56,37,166,2.1,30.6,6.1,0
35,53,20.7,149.2,2.7,30.6,5.9,1
34,49,24.8,159.1,8.1,35.7,16,1
30,59,27.8,168.2,9.8,39.3,19.4,1
29,86,0.9,8.2,0.1,1.4,0,0
28,67,2.9,16.3,2,4,0.8,0
28,75,4.4,24.3,3.3,6,2.5,1
30,66,4.1,26.6,1.5,6,0.7,0
30,58,4,8.4,1,3.9,0.4,0
34,71,3.3,9.1,1,3.5,0.4,0
31,62,5.8,17.7,3.8,6.4,3.2,1
30,88,6.6,26.1,3,8.1,2.7,1
30,80,7.9,34.5,3.5,10,3.7,1
29,74,4.7,8.2,0.8,4.6,0.3,0
30,73,6.5,16.6,2.1,6.6,1.2,0
31,72,8.3,25.2,3.8,9.1,3.9,1
29,49,11.5,33.4,9.1,12.4,10.3,1
28,81,12.6,41.5,4.3,14.3,5.7,1
32,51,16,50.2,6.9,17.8,9.8,1
33,26,21.2,59.2,14.2,22.4,19.3,1
34,44,25.2,63.3,11.2,26.2,17.5,1
36,33,25.8,77.8,9,28.2,15.4,1
29,41,24.9,86,2.7,28.9,5.6,1
34,58,18.7,88,2.1,24.4,3.8,0
35,34,23.6,97.3,13.8,29.4,21.6,1
33,64,26.1,106.3,7.1,32.4,13.7,1
35,56,29.4,115.6,7.5,36,15.2,1
26,49,11.9,28.1,0.6,11.9,0.4,0
28,70,13.8,36.1,2.4,14.1,3,0
30,65,16,44.5,4.5,16.9,6.5,1
28,87,6.5,8,0.1,6.2,0,0
27,87,3.5,7.9,0.4,3.4,0.2,0
24,54,4.3,15.2,1.7,5.1,0.7,0
24,64,3.8,16.5,1.2,4.8,0.5,0
